id,title,category,severity,location,details,verified,status,source_type,corroboration_count,confidence_score,needs_review,expires_at,reported_at,cluster_id
seed-001,Phishing email targeting local remote workers,digital,medium,Brooklyn,Multiple residents reported fake payroll reset emails with suspicious links.,true,monitoring,official,3,0.9100,false,2026-04-01T14:10:00Z,2026-03-01T14:10:00Z,digital|brooklyn|phishing email targeting local remote
seed-002,Streetlight outage near senior center,physical,low,Brooklyn,Three blocks have reduced visibility after dusk due to streetlight failures.,true,open,community,2,0.8000,false,2026-03-20T20:45:00Z,2026-03-02T20:45:00Z,physical|brooklyn|streetlight outage near senior center
seed-003,Phone scam impersonating utility company,digital,high,Queens,Callers demand immediate payment and threaten service disconnection.,false,open,community,1,0.5700,true,2026-03-18T16:25:00Z,2026-03-03T16:25:00Z,digital|queens|phone scam impersonating utility com
seed-004,Repeated posts about same suspicious van,physical,medium,Brooklyn,Multiple near-identical posts mention a white van circling two blocks at night.,false,monitoring,community,2,0.6900,false,2026-03-17T10:00:00Z,2026-03-05T10:00:00Z,physical|brooklyn|repeated posts about same suspicious
seed-005,Suspicious QR code stickers near subway gates,digital,medium,Manhattan,Commuters reported QR stickers that redirect to fake account login pages.,false,open,community,2,0.6400,true,2026-03-24T09:30:00Z,2026-03-07T09:30:00Z,digital|manhattan|suspicious qr code stickers near
seed-006,Package theft spike in apartment lobby,physical,medium,Queens,Residents reported repeated package theft from unsecured building mailrooms.,false,open,community,2,0.6600,false,2026-03-26T18:15:00Z,2026-03-07T18:15:00Z,physical|queens|package theft spike in apartment
seed-007,Fake bank SMS asks for one-time code,digital,high,Brooklyn,Messages impersonate local bank security teams and request OTP codes.,true,monitoring,official,3,0.9000,false,2026-03-29T13:05:00Z,2026-03-06T13:05:00Z,digital|brooklyn|fake bank sms asks for
seed-008,Water main break causing street flooding,physical,high,Bronx,A burst pipe flooded two intersections and blocked night traffic.,true,open,news,2,0.8200,false,2026-03-22T22:40:00Z,2026-03-07T22:40:00Z,physical|bronx|water main break causing street
seed-009,Unknown caller claims emergency tax penalty,digital,medium,Queens,Callers pressure seniors to pay immediately using gift cards.,false,open,community,1,0.5600,true,2026-03-21T12:00:00Z,2026-03-07T12:00:00Z,digital|queens|unknown caller claims emergency tax
seed-010,Reports of repeated door-handle checks at night,physical,low,Brooklyn,Several residents reported people trying parked car door handles after midnight.,false,monitoring,community,1,0.5400,true,2026-03-19T03:20:00Z,2026-03-07T03:20:00Z,physical|brooklyn|reports of repeated door-handle checks
